Role,Module,Check,Issue Found,Issue Fixed,Status
CIO,Executive Overview,KPI cards demo_overview,No KPIs defined,,FAIL
CIO,Executive Overview,Charts,,,PASS
CIO,Executive Overview,Popups/modals,,,PASS
CIO,Executive Overview,KPI drill enterprise/enterprise_compliance,,,PASS
CIO,Executive Overview,KPI drill enterprise/national_score,,,PASS
CIO,Executive Overview,KPI drill enterprise/open_observations,,,PASS
CIO,Executive Overview,KPI drill enterprise/frameworks_at_risk,,,PASS
CIO,Executive Overview,Charts,,,PASS
CIO,Executive Overview,Page KPI drill enterprise/enterprise_compliance,,,PASS
CIO,Executive Overview,Page KPI drill enterprise/national_score,,,PASS
CIO,Executive Overview,Page KPI drill enterprise/open_observations,,,PASS
CIO,Executive Overview,Page KPI drill enterprise/frameworks_at_risk,,,PASS
CIO,Executive Overview,Popups/modals,,,PASS
CIO,Executive Overview,KPI drill pan_india/regions,,,PASS
CIO,Executive Overview,KPI drill pan_india/branches,,,PASS
CIO,Executive Overview,KPI drill pan_india/open_observations,,,PASS
CIO,Executive Overview,KPI drill pan_india/sla_breaches,,,PASS
CIO,Executive Overview,Charts,,,PASS
CIO,Executive Overview,Page KPI drill pan_india/regions,,,PASS
CIO,Executive Overview,Page KPI drill pan_india/branches,,,PASS
CIO,Executive Overview,Page KPI drill pan_india/open_observations,,,PASS
CIO,Executive Overview,Page KPI drill pan_india/sla_breaches,,,PASS
CIO,Executive Overview,Popups/modals,,,PASS
CIO,Evidence Analytics,Evidence Analytics KPIs,,,PASS
CIO,Evidence Analytics,Charts,,,PASS
CIO,Evidence Analytics,Popups/modals,,,PASS
CIO,Trends,KPI drill trends/implementation_coverage,,,PASS
CIO,Trends,KPI drill trends/observations_net,,,PASS
CIO,Trends,KPI drill trends/auditor_rejection_rate,,,PASS
CIO,Trends,KPI drill trends/remediation_sla_compliance,,,PASS
CIO,Trends,Charts,,,PASS
CIO,Trends,Popups/modals,,,PASS
CIO,Reports,KPI drill reports/available_reports,,,PASS
CIO,Reports,KPI drill reports/generated_reports,,,PASS
CIO,Reports,KPI drill reports/scheduled_reports,,,PASS
CIO,Reports,KPI drill reports/pending_reports,,,PASS
CIO,Reports,KPI drill reports/failed_reports,,,PASS
CIO,Reports,KPI drill reports/success_rate,,,PASS
CIO,Reports,Popups/modals,,,PASS
CIO,Frameworks,KPI cards framework_loader,No KPIs defined,,FAIL
CIO,Frameworks,Popups/modals,,,PASS
CIO,Frameworks,Evidence review link,,,PASS
CIO,Frameworks,Evidence link markup,No evidence review triggers on page,,FAIL
CIO,Frameworks,KPI cards framework_loader,No KPIs defined,,FAIL
CIO,Frameworks,Popups/modals,,,PASS
CIO,Frameworks,Evidence review link,,,PASS
CIO,Operations,KPI drill scheduler/apps_scanned,,,PASS
CIO,Operations,KPI drill scheduler/evidence_collected,,,PASS
CIO,Operations,KPI drill scheduler/auto-validated,,,PASS
CIO,Operations,KPI drill scheduler/failed_collections,,,PASS
CIO,Operations,Page KPI drill scheduler/apps_scanned,,,PASS
CIO,Operations,Page KPI drill scheduler/evidence_collected,,,PASS
