menu,submenu,url,handler,template,template_status,level,status,issue
Executive Overview,★ ROI &amp; Value Realization,/mvp/roi,found,mvp_roi_center.html,found,2,OK,
Executive Overview,Main Dashboard,/dashboard,found,(dynamic/redirect),n/a,2,OK,
Executive Overview,Evidence Analytics,/dashboard/cio,found,(dynamic/redirect),n/a,2,OK,
Executive Overview,Vertical Head Dashboard,/dashboard/vertical-head,found,dashboard_vertical_head.html,found,2,OK,
Executive Overview,Compliance Dashboard,/dashboard/compliance-head,found,dashboard_compliance_head.html,found,2,OK,
Executive Overview,Functional Head Dashboard,/dashboard/functional-head,found,dashboard_functional_head.html,found,2,OK,
Executive Overview,Demo Overview ●,/mvp/demo-overview,found,mvp_demo_overview.html,found,2,OK,
Executive Overview,Enterprise,/mvp/enterprise,found,mvp_enterprise.html,found,2,OK,
Executive Overview,Pan India,/mvp/pan-india,found,mvp_pan_india.html,found,2,OK,
Executive Overview,Reports,/mvp/reports,found,mvp_reports.html,found,2,OK,
Executive Overview,Trends,/mvp/trends,found,(dynamic/redirect),n/a,2,OK,
Frameworks,/framework/,/framework/,found,(dynamic/redirect),n/a,3,OK,
Frameworks,Framework Loader,/mvp/framework-loader,found,framework_loader.html,found,3,OK,
Frameworks,Framework Administration,/mvp/framework-admin,found,(dynamic/redirect),n/a,3,OK,
Frameworks,+ Add New Framework,/mvp/framework-admin,found,(dynamic/redirect),n/a,3,OK,
Frameworks,Framework Onboarding Review,/mvp/framework-admin,found,(dynamic/redirect),n/a,3,OK,
Operations,Scheduler,/mvp/scheduler,found,mvp_scheduler.html,found,2,OK,
Operations,Predefined Queries,/mvp/predefined-queries,found,mvp_predefined_queries.html,found,2,OK,
Operations,Integration Health,/mvp/integration-health,found,(dynamic/redirect),n/a,2,OK,
Operations,Evidence Explorer,/mvp/evidence-explorer,found,(dynamic/redirect),n/a,2,OK,
Operations,AI Ops Assistant,/mvp/ai-ops-assistant,found,mvp_ai_ops_assistant.html,found,2,OK,
Operations,Bulk Upload,/mvp/upload,found,mvp_bulk_upload.html,found,2,OK,
Operations,Integrations,/mvp/integrations,found,(dynamic/redirect),n/a,2,OK,
Operations,Onboarding,/mvp/onboarding,found,mvp_onboarding.html,found,2,OK,
Governance,Audit Prep,/mvp/audit-prep,found,(dynamic/redirect),n/a,2,OK,
Governance,Evidence Health,/mvp/evidence-health,found,mvp_evidence_health.html,found,2,OK,
Governance,Evidence Reuse,/mvp/reuse,found,mvp_reuse.html,found,2,OK,
Governance,Lifecycle,/mvp/lifecycle,found,(dynamic/redirect),n/a,2,OK,
Governance,Completeness,/mvp/completeness,found,mvp_completeness.html,found,2,OK,
Governance,App Comparison,/mvp/comparison,found,mvp_comparison.html,found,2,OK,
Governance,Search,/mvp/search,found,mvp_search.html,found,2,OK,
Governance,Evidence Approval Analytics,/mvp/evidence-approval,found,mvp_evidence_approval.html,found,2,OK,
Evidence Governance,Role Scorecard ●,/mvp/platform/scorecard,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Executive Summary ●,/mvp/platform/executive-summary,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Audit Readiness,/mvp/platform/audit-readiness,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Application Onboarding,/mvp/platform/onboarding,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Application Inventory,/mvp/platform/inventory,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Control Coverage,/mvp/platform/control-coverage,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Framework Coverage,/mvp/platform/framework-coverage,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Evidence Reuse,/mvp/platform/evidence-reuse,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Evidence Lifecycle,/mvp/platform/evidence-lifecycle,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,Collection Scheduler,/mvp/platform/scheduler,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,AI Assistant,/mvp/platform/assistant,found,(dynamic/redirect),n/a,2,OK,
Evidence Governance,AI Assistant (Chat),/mvp/ai-assistant,found,(dynamic/redirect),n/a,2,OK,
Enterprise GRC,Risk Register,/mvp/risk-register,found,(dynamic/redirect),n/a,2,OK,
Enterprise GRC,Exceptions / TD,/mvp/exceptions,found,mvp_exceptions.html,found,2,OK,
Enterprise GRC,Exception Governance,/mvp/exception-governance,found,mvp_exception_governance.html,found,2,OK,
Enterprise GRC,CMDB / Assets,/mvp/cmdb,found,mvp_cmdb.html,found,2,OK,
Enterprise GRC,Regulatory Mapping,/mvp/regulatory,found,mvp_regulatory.html,found,2,OK,
Enterprise GRC,Executive Heatmaps,/mvp/heatmaps,found,mvp_heatmaps.html,found,2,OK,
Enterprise GRC,Integrations Hub,/mvp/integrations-hub,found,mvp_integrations_hub.html,found,2,OK,
Enterprise GRC,Cross-Tool Correlation,/mvp/correlation,found,mvp_correlation.html,found,2,OK,
Enterprise GRC,Governance Analytics,/mvp/governance-analytics,found,mvp_governance_analytics.html,found,2,OK,
AI SDLC Governance,Home,/mvp/ai-sdlc,found,mvp_ai_sdlc_home.html,found,2,OK,
AI SDLC Governance,AI SDLC Control Tower,/mvp/ai-sdlc/control-tower,found,mvp_ai_sdlc_control_tower.html,found,2,OK,
AI SDLC Governance,Application Onboarding,/mvp/ai-sdlc/onboarding,found,(dynamic/redirect),n/a,2,OK,
AI SDLC Governance,Requirements,/mvp/ai-sdlc/requirements,found,(dynamic/redirect),n/a,2,OK,
AI SDLC Governance,Design,/mvp/ai-sdlc/design,found,(dynamic/redirect),n/a,2,OK,
AI SDLC Governance,Development,/mvp/ai-sdlc/development,found,(dynamic/redirect),n/a,2,OK,
AI SDLC Governance,Testing,/mvp/ai-sdlc/testing,found,(dynamic/redirect),n/a,2,OK,
AI SDLC Governance,Go-Live,/mvp/ai-sdlc/golive,found,(dynamic/redirect),n/a,2,OK,
AI SDLC Governance,Evidence Collection,/mvp/ai-sdlc/evidence,found,mvp_ai_sdlc_worklist.html,found,2,OK,
AI SDLC Governance,Findings &amp; Remediation,/mvp/ai-sdlc/findings,found,mvp_ai_sdlc_worklist.html,found,2,OK,
AI SDLC Governance,Reports,/mvp/ai-sdlc/reports,found,mvp_ai_sdlc_reports.html,found,2,OK,
